# strain(%), strain_el(%), stress(GPa)
0.17720000 0.16444032 0.12759792
0.17760000 0.16495884 0.12799995
0.17800000 0.16524347 0.12822063
0.17840000 0.16594982 0.12876829
0.17880000 0.16649489 0.12919090
0.17920000 0.17548298 0.13615970
0.17960000 0.17579532 0.13640187
0.18000000 0.17602566 0.13658046
0.18040000 0.17651870 0.13696273
0.18080000 0.18068809 0.14019541
0.18120000 0.18102794 0.14045891
0.18160000 0.18141538 0.14075931
0.18200000 0.17839353 0.13841636
0.18240000 0.17846267 0.13846996
0.18280000 0.17899015 0.13887893
0.18320000 0.18317064 0.14212023
0.18360000 0.18339619 0.14229510
0.18400000 0.18018335 0.13980407
0.18440000 0.18035098 0.13993404
0.18480000 0.18095066 0.14039899
0.18520000 0.18114324 0.14054831
0.18560000 0.18176026 0.14102670
0.18600000 0.18236076 0.14149229
0.18640000 0.18238532 0.14151134
0.18680000 0.18309624 0.14206254
0.18720000 0.18337367 0.14227764
0.18760000 0.18362538 0.14247280
0.18800000 0.18387800 0.14266867
0.18840000 0.18449638 0.14314812
0.18880000 0.18852204 0.14626936
0.18920000 0.18891137 0.14657122
0.18960000 0.18934491 0.14690736
0.19000000 0.18971202 0.14719199
0.19040000 0.18640493 0.14462789
0.19080000 0.18692553 0.14503153
0.19120000 0.18711407 0.14517771
0.19160000 0.18782158 0.14572627
0.19200000 0.18799918 0.14586396
0.19240000 0.18828606 0.14608639
0.19280000 0.18893489 0.14658946
0.19320000 0.18916115 0.14676489
0.19360000 0.18930579 0.14687703
0.19400000 0.18972219 0.14719988
0.19440000 0.19031220 0.14765733
0.19480000 0.19099204 0.14818445
0.19520000 0.19153215 0.14860321
0.19560000 0.19166215 0.14870400
0.19600000 0.19219217 0.14911495
0.19640000 0.19622265 0.15223992
0.19680000 0.19657093 0.15250996
0.19720000 0.19685544 0.15273055
0.19760000 0.19370120 0.15028495
0.19800000 0.19402041 0.15053245
0.19840000 0.19437521 0.15080754
0.19880000 0.19430466 0.15075284
0.19920000 0.19515817 0.15141459
0.19960000 0.19581331 0.15192255
0.20000000 0.19621361 0.15223292
0.20040000 0.19657040 0.15250954
0.20080000 0.19678822 0.15267844
0.20120000 0.19727961 0.15305942
0.20160000 0.19787962 0.15352463
0.20200000 0.19804994 0.15365669
0.20240000 0.19825386 0.15381480
0.20280000 0.19860539 0.15408735
0.20320000 0.19940115 0.15470433
0.20360000 0.19963582 0.15488628
0.20400000 0.19996993 0.15514533
0.20440000 0.20030060 0.15540171
0.20480000 0.20078389 0.15577642
0.20520000 0.20093286 0.15589192
0.20560000 0.20091747 0.15587999
0.20600000 0.20155774 0.15637642
0.20640000 0.20214292 0.15683013
0.20680000 0.20282159 0.15735633
0.20720000 0.20310529 0.15757629
0.20760000 0.20735179 0.16086875
0.20800000 0.20786838 0.16126929
0.20840000 0.20803323 0.16139710
0.20880000 0.20822133 0.16154294
0.20920000 0.20499042 0.15903790
0.20960000 0.20561777 0.15952431
0.21000000 0.20591386 0.15975387
0.21040000 0.20627601 0.16003466
0.21080000 0.20676976 0.16041748
0.21120000 0.20720431 0.16075441
0.21160000 0.20731947 0.16084370
0.21200000 0.20768242 0.16112510
0.21240000 0.20798916 0.16136293
0.21280000 0.20835793 0.16164885
0.21320000 0.20876923 0.16196774
0.21360000 0.20933622 0.16240735
0.21400000 0.20997026 0.16289895
0.21440000 0.21065598 0.16343062
0.21480000 0.21072854 0.16348687
0.21520000 0.21094998 0.16365856
0.21560000 0.21163681 0.16419109
0.21600000 0.21162163 0.16417932
0.21640000 0.21592214 0.16751366
0.21680000 0.21616854 0.16770470
0.21720000 0.21298642 0.16523749
0.21760000 0.21361758 0.16572685
0.21800000 0.21385452 0.16591056
0.21840000 0.21404340 0.16605701
0.21880000 0.21470589 0.16657066
0.21920000 0.21505213 0.16683911
0.21960000 0.21918071 0.17004015
0.22000000 0.21916686 0.17002941
0.22040000 0.21612526 0.16767115
0.22080000 0.21631925 0.16782156
0.22120000 0.21700327 0.16835190
0.22160000 0.21751930 0.16875200
0.22200000 0.21795977 0.16909351
0.22240000 0.21812824 0.16922413
0.22280000 0.21851260 0.16952214
0.22320000 0.22286127 0.17289383
0.22360000 0.22352256 0.17340654
0.22400000 0.22346722 0.17336364
0.22440000 0.22392823 0.17372108
0.22480000 0.22061271 0.17115043
0.22520000 0.22101385 0.17146145
0.22560000 0.22145588 0.17180417
0.22600000 0.22147177 0.17181649
0.22640000 0.22618770 0.17547292
0.22680000 0.22651724 0.17572843
0.22720000 0.22293864 0.17295381
0.22760000 0.22330901 0.17324097
0.22800000 0.22354006 0.17342011
0.22840000 0.22390896 0.17370613
0.22880000 0.22842002 0.17720372
0.22920000 0.22881684 0.17751139
0.22960000 0.22895676 0.17761988
0.23000000 0.22909258 0.17772519
0.23040000 0.22594196 0.17528240
0.23080000 0.22639082 0.17563041
0.23120000 0.22697639 0.17608442
0.23160000 0.22734439 0.17636975
0.23200000 0.22739905 0.17641213
0.23240000 0.22824003 0.17706417
0.23280000 0.22850760 0.17727163
0.23320000 0.22875080 0.17746019
0.23360000 0.22937431 0.17794362
0.23400000 0.22987058 0.17832840
0.23440000 0.23004355 0.17846250
0.23480000 0.23021769 0.17859752
0.23520000 0.23068087 0.17895664
0.23560000 0.23116459 0.17933169
0.23600000 0.23156823 0.17964465
0.23640000 0.23197239 0.17995801
0.23680000 0.23241531 0.18030142
0.23720000 0.23668126 0.18360896
0.23760000 0.23700918 0.18386321
0.23800000 0.23716074 0.18398072
0.23840000 0.23754395 0.18427784
0.23880000 0.23810155 0.18471017
0.23920000 0.23886583 0.18530274
0.23960000 0.23528839 0.18252903
0.24000000 0.23562806 0.18279238
0.24040000 0.23595850 0.18304858
0.24080000 0.23632701 0.18333431
0.24120000 0.23684228 0.18373381
0.24160000 0.23702834 0.18387807
0.24200000 0.23745744 0.18421077
0.24240000 0.23794703 0.18459036
0.24280000 0.23825269 0.18482735
0.24320000 0.23851219 0.18502855
0.24360000 0.23920850 0.18556843
0.24400000 0.23941750 0.18573047
0.24440000 0.23961001 0.18587973
0.24480000 0.24035934 0.18646072
0.24520000 0.24061168 0.18665637
0.24560000 0.24094150 0.18691209
0.24600000 0.24153829 0.18737480
0.24640000 0.24183658 0.18760607
0.24680000 0.24217663 0.18786973
0.24720000 0.24261052 0.18820614
0.24760000 0.24314857 0.18862331
0.24800000 0.24764698 0.19211109
0.24840000 0.24796577 0.19235826
0.24880000 0.24438358 0.18958086
0.24920000 0.24463870 0.18977866
0.24960000 0.24508888 0.19012770
0.25000000 0.24545700 0.19041312
0.25040000 0.24582828 0.19070099
0.25080000 0.24632442 0.19108567
0.25120000 0.24678372 0.19144177
0.25160000 0.24721488 0.19177607
0.25200000 0.24756199 0.19204519
0.25240000 0.24788214 0.19229342
0.25280000 0.24833147 0.19264180
0.25320000 0.24867599 0.19290892
0.25360000 0.24928129 0.19337823
0.25400000 0.24963399 0.19365169
0.25440000 0.24998537 0.19392413
0.25480000 0.25021114 0.19409918
0.25520000 0.25052586 0.19434319
0.25560000 0.25094053 0.19466470
0.25600000 0.25152298 0.19511630
0.25640000 0.25174907 0.19529159
0.25680000 0.25228448 0.19570671
0.25720000 0.25276340 0.19607804
0.25760000 0.25285187 0.19614663
0.25800000 0.25298442 0.19624940
0.25840000 0.25382925 0.19690443
0.25880000 0.25432501 0.19728881
0.25920000 0.25424765 0.19722883
0.25960000 0.25465014 0.19754090
0.26000000 0.25572157 0.19837162
0.26040000 0.25554404 0.19823397
0.26080000 0.25640063 0.19889811
0.26120000 0.25668259 0.19911673
0.26160000 0.25700105 0.19936365
0.26200000 0.25738082 0.19965809
0.26240000 0.26179298 0.20307901
0.26280000 0.26223431 0.20342118
0.26320000 0.25814357 0.20024948
0.26360000 0.25907998 0.20097552
0.26400000 0.25929982 0.20114596
0.26440000 0.26376753 0.20460995
0.26480000 0.26402033 0.20480595
0.26520000 0.26447284 0.20515680
0.26560000 0.26105222 0.20250467
0.26600000 0.26119243 0.20261337
0.26640000 0.26151791 0.20286573
0.26680000 0.26208993 0.20330924
0.26720000 0.26304181 0.20404727
0.26760000 0.26327829 0.20423062
0.26800000 0.26362490 0.20449936
0.26840000 0.26372912 0.20458016
0.26880000 0.26407312 0.20484688
0.26920000 0.26455198 0.20521816
0.26960000 0.26484900 0.20544845
0.27000000 0.26510709 0.20564856
0.27040000 0.26545142 0.20591553
0.27080000 0.26615377 0.20646008
0.27120000 0.26653970 0.20675931
0.27160000 0.26680916 0.20696823
0.27200000 0.26713482 0.20722073
0.27240000 0.26750395 0.20750693
0.27280000 0.26777559 0.20771754
0.27320000 0.26862760 0.20837814
0.27360000 0.26888582 0.20857834
0.27400000 0.26936231 0.20894778
0.27440000 0.27391604 0.21247845
0.27480000 0.27406536 0.21259423
0.27520000 0.27055345 0.20987132
0.27560000 0.27069036 0.20997746
0.27600000 0.27107154 0.21027301
0.27640000 0.27169506 0.21075645
0.27680000 0.27190064 0.21091584
0.27720000 0.27263153 0.21148252
0.27760000 0.27314771 0.21188274
0.27800000 0.27379989 0.21238840
0.27840000 0.27375955 0.21235713
0.27880000 0.27411488 0.21263262
0.27920000 0.27439162 0.21284719
0.27960000 0.27912687 0.21651860
0.28000000 0.27911614 0.21651028
0.28040000 0.27578319 0.21392612
0.28080000 0.27630877 0.21433363
0.28120000 0.27674454 0.21467150
0.28160000 0.27675430 0.21467906
0.28200000 0.27699106 0.21486263
0.28240000 0.27733041 0.21512574
0.28280000 0.27817835 0.21578318
0.28320000 0.27832769 0.21589897
0.28360000 0.27844083 0.21598669
0.28400000 0.27909484 0.21649377
0.28440000 0.27933008 0.21667616
0.28480000 0.27975387 0.21700474
0.28520000 0.28001597 0.21720795
0.28560000 0.28057165 0.21763879
0.28600000 0.28102230 0.21798820
0.28640000 0.28110323 0.21805095
0.28680000 0.28173345 0.21853958
0.28720000 0.28251331 0.21914424
0.28760000 0.28292170 0.21946087
0.28800000 0.28341382 0.21984243
0.28840000 0.28341921 0.21984661
0.28880000 0.28377853 0.22012520
0.28920000 0.28427421 0.22050953
0.28960000 0.28469521 0.22083594
0.29000000 0.28510358 0.22115257
0.29040000 0.28894054 0.22412750
0.29080000 0.28953616 0.22458931
0.29120000 0.28634999 0.22211895
0.29160000 0.28622517 0.22202217
0.29200000 0.28667784 0.22237314
0.29240000 0.28735345 0.22289697
0.29280000 0.28806577 0.22344926
0.29320000 0.28859367 0.22385856
0.29360000 0.28844275 0.22374155
0.29400000 0.28892925 0.22411874
0.29440000 0.28950615 0.22456604
0.29480000 0.28992801 0.22489312
0.29520000 0.29040001 0.22525908
0.29560000 0.29094419 0.22568100
0.29600000 0.29149055 0.22610462
0.29640000 0.29135587 0.22600020
0.29680000 0.29504037 0.22885692
0.29720000 0.29564396 0.22932491
0.29760000 0.29608613 0.22966774
0.29800000 0.29260206 0.22696641
0.29840000 0.29382308 0.22791311
0.29880000 0.29414209 0.22816045
0.29920000 0.29430280 0.22828506
0.29960000 0.29518964 0.22897266
0.30000000 0.29521462 0.22899202
0.30040000 0.29562634 0.22931124
0.30080000 0.29564457 0.22932538
0.30120000 0.29632838 0.22985557
0.30160000 0.29683279 0.23024665
0.30200000 0.29668122 0.23012913
0.30240000 0.29731970 0.23062417
0.30280000 0.29748066 0.23074897
0.30320000 0.29808242 0.23121554
0.30360000 0.29864320 0.23165033
0.30400000 0.29887349 0.23182888
0.30440000 0.29935042 0.23219866
0.30480000 0.29980883 0.23255408
0.30520000 0.30010937 0.23278710
0.30560000 0.30031949 0.23295002
0.30600000 0.30059829 0.23316618
0.30640000 0.30101862 0.23349208
0.30680000 0.30181570 0.23411009
0.30720000 0.30212978 0.23435360
0.30760000 0.30241567 0.23457526
0.30800000 0.30322229 0.23520066
0.30840000 0.30364761 0.23553043
