# strain(%), strain_el(%), stress(GPa)
0.21120000 0.20737789 0.16088899
0.21160000 0.20753408 0.16101009
0.21200000 0.20789488 0.16128983
0.21240000 0.20833524 0.16163126
0.21280000 0.20866635 0.16188798
0.21320000 0.20891724 0.16208250
0.21360000 0.20931393 0.16239008
0.21400000 0.21000415 0.16292522
0.21440000 0.21060214 0.16338887
0.21480000 0.21104246 0.16373027
0.21520000 0.21101870 0.16371184
0.21560000 0.21147595 0.16406637
0.21600000 0.21176920 0.16429374
0.21640000 0.21201458 0.16448399
0.21680000 0.21258665 0.16492753
0.21720000 0.21316006 0.16537212
0.21760000 0.21366123 0.16576070
0.21800000 0.21406030 0.16607011
0.21840000 0.21431046 0.16626407
0.21880000 0.21424173 0.16621078
0.21920000 0.21504356 0.16683247
0.21960000 0.21547369 0.16716596
0.22000000 0.21566487 0.16731419
0.22040000 0.21622406 0.16774775
0.22080000 0.21676989 0.16817095
0.22120000 0.21725179 0.16854459
0.22160000 0.21754134 0.16876909
0.22200000 0.21781897 0.16898434
0.22240000 0.21804211 0.16915735
0.22280000 0.21842990 0.16945802
0.22320000 0.21885388 0.16978675
0.22360000 0.21934671 0.17016886
0.22400000 0.21986445 0.17057028
0.22440000 0.22031989 0.17092340
0.22480000 0.22057919 0.17112444
0.22520000 0.22105266 0.17149154
0.22560000 0.22125362 0.17164735
0.22600000 0.22157897 0.17189961
0.22640000 0.22201018 0.17223394
0.22680000 0.22233882 0.17248875
0.22720000 0.22290231 0.17292564
0.22760000 0.22350691 0.17339441
0.22800000 0.22391055 0.17370737
0.22840000 0.22423091 0.17395575
0.22880000 0.22476040 0.17436629
0.22920000 0.22496595 0.17452566
0.22960000 0.22521924 0.17472205
0.23000000 0.22550174 0.17494108
0.23040000 0.22594469 0.17528451
0.23080000 0.22677023 0.17592458
0.23120000 0.22730937 0.17634260
0.23160000 0.22751423 0.17650144
0.23200000 0.22766097 0.17661521
0.23240000 0.22787771 0.17678326
0.23280000 0.22838240 0.17717455
0.23320000 0.22873509 0.17744801
0.23360000 0.22928919 0.17787763
0.23400000 0.22974248 0.17822908
0.23440000 0.23027146 0.17863921
0.23480000 0.23074232 0.17900429
0.23520000 0.23097532 0.17918494
0.23560000 0.23126761 0.17941156
0.23600000 0.23159797 0.17966770
0.23640000 0.23204146 0.18001156
0.23680000 0.23234009 0.18024310
0.23720000 0.23274665 0.18055832
0.23760000 0.23315325 0.18087357
0.23800000 0.23386492 0.18142535
0.23840000 0.23424439 0.18171957
0.23880000 0.23456539 0.18196846
0.23920000 0.23489224 0.18222187
0.23960000 0.23523926 0.18249093
0.24000000 0.23556974 0.18274717
0.24040000 0.23577473 0.18290610
0.24080000 0.23638755 0.18338124
0.24120000 0.23678741 0.18369127
0.24160000 0.23719796 0.18400959
0.24200000 0.23776840 0.18445187
0.24240000 0.23821368 0.18479711
0.24280000 0.23850375 0.18502201
0.24320000 0.23866032 0.18514340
0.24360000 0.23910314 0.18548674
0.24400000 0.23973365 0.18597559
0.24440000 0.24011087 0.18626807
0.24480000 0.24044711 0.18652877
0.24520000 0.24074708 0.18676135
0.24560000 0.24124738 0.18714925
0.24600000 0.24161754 0.18743624
0.24640000 0.24183367 0.18760382
0.24680000 0.24222296 0.18790565
0.24720000 0.24274071 0.18830708
0.24760000 0.24327355 0.18872021
0.24800000 0.24371425 0.18906190
0.24840000 0.24410422 0.18936426
0.24880000 0.24439805 0.18959208
0.24920000 0.24471535 0.18983809
0.24960000 0.24482832 0.18992568
0.25000000 0.24539518 0.19036519
0.25040000 0.24585910 0.19072489
0.25080000 0.24666577 0.19135032
0.25120000 0.24712884 0.19170936
0.25160000 0.24750634 0.19200205
0.25200000 0.24750007 0.19199719
0.25240000 0.24768996 0.19214441
0.25280000 0.24822143 0.19255648
0.25320000 0.24864732 0.19288669
0.25360000 0.24904173 0.19319249
0.25400000 0.24942732 0.19349146
0.25440000 0.25007840 0.19399626
0.25480000 0.25051149 0.19433205
0.25520000 0.25086876 0.19460905
0.25560000 0.25117182 0.19484403
0.25600000 0.25143526 0.19504828
0.25640000 0.25174428 0.19528788
0.25680000 0.25211291 0.19557369
0.25720000 0.25284148 0.19613858
0.25760000 0.25349276 0.19664354
0.25800000 0.25395230 0.19699984
0.25840000 0.25424505 0.19722681
0.25880000 0.25421422 0.19720291
0.25920000 0.25451815 0.19743856
0.25960000 0.25460886 0.19750889
0.26000000 0.25528035 0.19802952
0.26040000 0.25591585 0.19852225
0.26080000 0.25658291 0.19903944
0.26120000 0.25704696 0.19939924
0.26160000 0.25714991 0.19947906
0.26200000 0.25729862 0.19959436
0.26240000 0.25754882 0.19978835
0.26280000 0.25804364 0.20017200
0.26320000 0.25845609 0.20049179
0.26360000 0.25904183 0.20094593
0.26400000 0.25971551 0.20146826
0.26440000 0.26021439 0.20185507
0.26480000 0.26060019 0.20215419
0.26520000 0.26058497 0.20214239
0.26560000 0.26079004 0.20230138
0.26600000 0.26120118 0.20262016
0.26640000 0.26197274 0.20321838
0.26680000 0.26248652 0.20361673
0.26720000 0.26296193 0.20398533
0.26760000 0.26311115 0.20410103
0.26800000 0.26331385 0.20425819
0.26840000 0.26368322 0.20454458
0.26880000 0.26405134 0.20482999
0.26920000 0.26450226 0.20517961
0.26960000 0.26495706 0.20553223
