# strain(%), strain_el(%), stress(GPa)
0.20640000 0.20903124 0.16217089
0.20680000 0.20567525 0.15956888
0.20720000 0.20600951 0.15982804
0.20760000 0.20646723 0.16018292
0.20800000 0.20649413 0.16020378
0.20840000 0.21063192 0.16341196
0.20880000 0.21142984 0.16403061
0.20920000 0.21177967 0.16430185
0.20960000 0.20839319 0.16167619
0.21000000 0.20870548 0.16191832
0.21040000 0.20918028 0.16228645
0.21080000 0.20937520 0.16243758
0.21120000 0.20989116 0.16283762
0.21160000 0.21014099 0.16303133
0.21200000 0.21062207 0.16340432
0.21240000 0.21096033 0.16366659
0.21280000 0.21508095 0.16686146
0.21320000 0.21550570 0.16719078
0.21360000 0.21628675 0.16779635
0.21400000 0.21656431 0.16801156
0.21440000 0.21292607 0.16519070
0.21480000 0.21323686 0.16543166
0.21520000 0.21344045 0.16558951
0.21560000 0.21390106 0.16594664
0.21600000 0.21430377 0.16625888
0.21640000 0.21448996 0.16640324
0.21680000 0.21552306 0.16720424
0.21720000 0.21557662 0.16724577
0.21760000 0.21630214 0.16780829
0.21800000 0.21646156 0.16793189
0.21840000 0.21712006 0.16844245
0.21880000 0.21774982 0.16893073
0.21920000 0.21821184 0.16928895
0.21960000 0.21816357 0.16925152
0.22000000 0.21840801 0.16944105
0.22040000 0.21898203 0.16988611
0.22080000 0.21936842 0.17018569
0.22120000 0.21986162 0.17056809
0.22160000 0.22037592 0.17096684
0.22200000 0.22085402 0.17133752
0.22240000 0.22112760 0.17154964
0.22280000 0.22119742 0.17160378
0.22320000 0.22158983 0.17190803
0.22360000 0.22226457 0.17243118
0.22400000 0.22275414 0.17281076
0.22440000 0.22332975 0.17325705
0.22480000 0.22340262 0.17331355
0.22520000 0.22365302 0.17350770
0.22560000 0.22741772 0.17642661
0.22600000 0.22777076 0.17670033
0.22640000 0.22872430 0.17743965
0.22680000 0.22521509 0.17471882
0.22720000 0.22566721 0.17506937
0.22760000 0.22608152 0.17539060
0.22800000 0.22628504 0.17554840
0.22840000 0.22979389 0.17826893
0.22880000 0.23063658 0.17892230
0.22920000 0.23144531 0.17954934
0.22960000 0.23185079 0.17986372
0.23000000 0.23234040 0.18024334
0.23040000 0.23267889 0.18050579
0.23080000 0.23285586 0.18064300
0.23120000 0.23310137 0.18083335
0.23160000 0.22984815 0.17831100
0.23200000 0.23040819 0.17874523
0.23240000 0.23064342 0.17892761
0.23280000 0.23111528 0.17929346
0.23320000 0.23154433 0.17962612
0.23360000 0.23594225 0.18303599
0.23400000 0.23593734 0.18303218
0.23440000 0.23632735 0.18333457
0.23480000 0.23706623 0.18390745
0.23520000 0.23397846 0.18151338
0.23560000 0.23441888 0.18185486
0.23600000 0.23432411 0.18178138
0.23640000 0.23476768 0.18212530
0.23680000 0.23903909 0.18543708
0.23720000 0.23935314 0.18568058
0.23760000 0.24012939 0.18628243
0.23800000 0.24059640 0.18664452
0.23840000 0.23696461 0.18382866
