# strain(%), energy_raw(eV), energy(eV)
0.15560000 -22367.70605535 0.01914644
0.15600000 -22367.70582866 0.01918618
0.15640000 -22367.70562136 0.01920604
0.15680000 -22367.70536194 0.01927754
0.15720000 -22367.70514558 0.01930550
0.15760000 -22367.70489432 0.01936788
0.15800000 -22367.70465017 0.01942266
0.15840000 -22367.70439357 0.01948943
0.15880000 -22367.70418492 0.01950775
0.15920000 -22367.70393956 0.01956231
0.15960000 -22367.70371940 0.01959120
0.16000000 -22367.70348826 0.01963058
0.16040000 -22367.70322242 0.01970418
0.16080000 -22367.70299444 0.01973944
0.16120000 -22367.70275073 0.01978994
0.16160000 -22367.70251887 0.01982813
0.16200000 -22367.70227789 0.01987495
0.16240000 -22367.70202016 0.01993803
0.16280000 -22367.70175076 0.02001232
0.16320000 -22367.70152622 0.02004126
0.16360000 -22367.70130302 0.02006837
0.16400000 -22367.70103263 0.02014220
0.16440000 -22367.70076960 0.02020820
0.16480000 -22367.70054433 0.02023595
0.16520000 -22367.70028662 0.02029565
0.16560000 -22367.70005639 0.02032741
0.16600000 -22367.69977072 0.02041412
0.16640000 -22367.69954875 0.02043665
0.16680000 -22367.69933262 0.02045286
0.16720000 -22367.69905144 0.02053364
0.16760000 -22367.69880794 0.02057626
0.16800000 -22367.69856108 0.02062176
0.16840000 -22367.69829750 0.02068350
0.16880000 -22367.69805513 0.02072355
0.16920000 -22367.69781330 0.02076257
0.16960000 -22367.69755901 0.02081359
0.17000000 -22367.69727348 0.02089536
0.17040000 -22367.69701105 0.02095355
0.17080000 -22367.69677216 0.02098772
0.17120000 -22367.69652800 0.02102668
0.17160000 -22367.69623794 0.02111106
0.17200000 -22367.69601919 0.02112364
0.17240000 -22367.69573410 0.02120209
0.17280000 -22367.69547536 0.02125372
0.17320000 -22367.69521567 0.02130581
0.17360000 -22367.69495020 0.02136320
0.17400000 -22367.69470438 0.02140045
0.17440000 -22367.69443253 0.02146327
0.17480000 -22367.69416684 0.02151943
0.17520000 -22367.69391892 0.02155735
0.17560000 -22367.69363932 0.02162648
0.17600000 -22367.69338883 0.02166601
0.17640000 -22367.69312758 0.02171581
0.17680000 -22367.69284817 0.02178331
0.17726100 -22367.69257595 0.02181070
0.17760000 -22367.69231304 0.02189316
0.17800000 -22367.69206932 0.02192352
0.17840000 -22367.69177295 0.02200605
0.17880000 -22367.69150960 0.02205507
0.17920000 -22367.69124409 0.02210579
0.17960000 -22367.69096871 0.02216589
0.18000000 -22367.69071946 0.02219937
0.18040000 -22367.69045116 0.02225144
0.18080000 -22367.69015230 0.02233358
0.18120000 -22367.68988021 0.02238846
0.18160000 -22367.68962864 0.02242236
0.18200000 -22367.68934330 0.02248954
0.18240000 -22367.68906659 0.02254761
0.18280000 -22367.68875488 0.02264020
0.18320000 -22367.68851300 0.02266248
0.18360000 -22367.68825416 0.02270123
0.18400000 -22367.68796095 0.02277389
0.18440000 -22367.68768144 0.02283235
0.18480000 -22367.68739271 0.02289957
0.18520000 -22367.68714489 0.02292539
0.18560000 -22367.68685327 0.02299452
0.18600000 -22367.68657246 0.02305237
0.18640000 -22367.68629643 0.02310497
0.18680000 -22367.68601328 0.02316420
0.18720000 -22367.68571714 0.02323594
0.18760000 -22367.68545825 0.02326995
0.18800000 -22367.68516622 0.02333662
0.18840000 -22367.68490630 0.02337070
0.18880000 -22367.68459222 0.02345846
0.18920000 -22367.68428440 0.02353947
0.18960000 -22367.68403079 0.02356581
0.19000000 -22367.68375459 0.02361424
0.19040000 -22367.68347196 0.02366863
0.19080000 -22367.68317428 0.02373759
0.19120000 -22367.68287840 0.02380428
0.19160000 -22367.68261558 0.02383741
0.19200000 -22367.68231777 0.02390506
0.19240000 -22367.68202563 0.02396656
0.19280000 -22367.68173144 0.02402964
0.19320000 -22367.68145099 0.02407849
0.19360000 -22367.68111474 0.02418266
0.19400000 -22367.68085556 0.02420928
0.19440000 -22367.68054727 0.02428453
0.19480000 -22367.68027946 0.02431882
0.19520000 -22367.67998463 0.02437965
0.19560000 -22367.67967765 0.02445215
0.19600000 -22367.67938177 0.02451307
0.19640000 -22367.67910279 0.02455661
0.19680000 -22367.67879623 0.02462725
0.19720000 -22367.67849280 0.02469428
0.19760000 -22367.67818928 0.02476092
0.19800000 -22367.67790863 0.02480421
0.19840000 -22367.67758965 0.02488535
0.19880000 -22367.67729083 0.02494585
0.19920000 -22367.67700719 0.02499069
0.19960000 -22367.67669922 0.02505938
0.20000000 -22367.67638974 0.02512909
0.20040000 -22367.67610682 0.02517178
0.20080000 -22367.67578671 0.02525116
0.20120000 -22367.67547862 0.02531805
0.20160000 -22367.67518842 0.02536658
0.20200000 -22367.67485346 0.02545938
0.20240000 -22367.67456531 0.02550489
